sample_id,stage,cpu_shape,candidate_shape,cpu_dtype,candidate_dtype,status,abs_p50,abs_p90,abs_p95,abs_p99,abs_p999,abs_max,rel_p50,rel_p90,rel_p95,rel_p99,rel_p999,rel_max,abs_ev_p50,abs_ev_p90,abs_ev_p95,abs_ev_p99,abs_ev_p999,abs_ev_max,mae,rmse,max_signed_error,min_signed_error,luma_abs_p50,luma_abs_p90,luma_abs_p95,luma_abs_p99,luma_abs_p999,luma_abs_max,psnr,ssim,deltaE2000_mean,deltaE2000_p95,deltaE2000_max
IMG_2972,export_png16_roundtrip,126x95x3,126x95x3,float32,float32,ok,0.0,1.52587890625e-05,3.0517578125e-05,4.57763671875e-05,6.242370605469283e-05,0.00010682642459869385,0.0,0.00019069121468441534,0.000219535626408678,0.00039745022484174525,0.0013507606986580016,0.0035587729688772167,0.0,0.0002750830082659435,0.0003166881530606903,0.0005735132980405048,0.0019476627792926098,0.005143369598806909,6.326263100303039e-06,1.1986248994364286e-05,9.1552734375e-05,-0.00010682642459869385,3.2440185546850353e-06,1.201477050771782e-05,1.5310668945252247e-05,2.0645141601605133e-05,2.6431130981527174e-05,4.158935546882958e-05,98.42633409602237,0.9999999659814104,0.002008376203114767,0.005088635034025185,0.020490742266976197
IDG_20260410_140916_153_converted,rgb_in,95x126x3,95x126x3,float64,float32,ok,3.880682919107925e-10,8.187323102815122e-09,1.4495630443200898e-08,2.6403233949201502e-08,2.956682595234295e-08,2.9798300826833213e-08,2.0707172761643314e-08,4.074438758593477e-08,4.6134873283465166e-08,5.339254341565047e-08,5.762768239481508e-08,5.9487917096471375e-08,2.9868183385716585e-08,5.877485287084607e-08,6.655515708324628e-08,7.702910798297011e-08,8.313914487228576e-08,8.582287067592911e-08,2.2894641031650157e-09,5.756634941681165e-09,2.9791394462463927e-08,-2.9798300826833213e-08,3.1938103550732677e-10,5.5541022003779975e-09,1.0830540758677278e-08,2.0254226412719222e-08,2.5611640648848353e-08,2.844299185067456e-08,164.79662621113783,1.0000000000000007,6.584575019362252e-07,4.0768573335349394e-06,1.0743578102182112e-05
IDG_20260410_140916_153_converted,rgb_pre,95x126x3,95x126x3,float64,float32,ok,3.880682919107925e-10,8.187323102815122e-09,1.4495630443200898e-08,2.6403233949201502e-08,2.956682595234295e-08,2.9798300826833213e-08,2.0707172761643314e-08,4.074438758593477e-08,4.6134873283465166e-08,5.339254341565047e-08,5.762768239481508e-08,5.9487917096471375e-08,2.9868183385716585e-08,5.877485287084607e-08,6.655515708324628e-08,7.702910798297011e-08,8.313914487228576e-08,8.582287067592911e-08,2.2894641031650157e-09,5.756634941681165e-09,2.9791394462463927e-08,-2.9798300826833213e-08,3.1938103550732677e-10,5.5541022003779975e-09,1.0830540758677278e-08,2.0254226412719222e-08,2.5611640648848353e-08,2.844299185067456e-08,164.79662621113783,1.0000000000000007,6.584575019362252e-07,4.0768573335349394e-06,1.0743578102182112e-05
IDG_20260410_140916_153_converted,log_e_film,95x126x3,95x126x3,float64,float32,ok,6.941064453758194e-08,1.758934506934651e-07,2.141393681043268e-07,2.923035380192339e-07,4.125552861008469e-07,8.206341326477684e-07,7.48641262676275e-08,2.192049836278517e-07,2.9365211074042444e-07,5.434552520598885e-07,2.5601800046033686e-06,5.24141740949387e-05,0.0,1.5839308510085057e-07,3.3229973105931164e-07,6.687708528352652e-07,1.7286940517811204e-06,4.65890357483409e-05,8.430217469085003e-08,1.0797481656190775e-07,8.206341326477684e-07,-7.027331569986472e-07,3.963492267722302e-08,9.860726326027527e-08,1.1745322787970464e-07,1.5638358914493715e-07,1.950581599743428e-07,2.7763126397850613e-07,147.93654628026408,0.9999999999995982,3.954606890926565e-06,2.8733904880417765e-05,9.565264939127686e-05
IDG_20260410_140916_153_converted,cmy_film,95x126x3,95x126x3,float64,float32,ok,4.3940733752967365e-08,1.3242691556114576e-07,1.6328084238015344e-07,2.2703763865039473e-07,3.026428874752797e-07,3.89214929619186e-07,1.9958404712356337e-07,6.460072318591415e-07,8.165191117824462e-07,1.2138353803867802e-06,1.8322027780364886e-06,5.077986724997379e-06,2.8793893198560035e-07,9.319911036526352e-07,1.1779881932456902e-06,1.7511949357860576e-06,2.643301717139262e-06,7.325902849231222e-06,5.8385682922061586e-08,7.829699277963284e-08,3.89214929619186e-07,-3.768143768123622e-07,3.159563503885021e-08,9.018547247885422e-08,1.091021091914612e-07,1.4592568912230567e-07,1.8964420544287467e-07,2.1585330678419723e-07,142.86717808309928,0.999999999999401,1.345685701253081e-05,3.4695551765556116e-05,9.682498123911918e-05
IDG_20260410_140916_153_converted,log_e_print,95x126x3,95x126x3,float64,float32,ok,2.711721330622696e-06,7.193267559923999e-06,9.825979628241789e-06,2.0576204778475184e-05,2.200871277805972e-05,2.2559361881335782e-05,5.331168065852773e-06,1.8204729010557844e-05,2.3030620861355564e-05,2.8925886651857815e-05,0.00014271110220691915,0.005902447832588319,3.3273157372690466e-06,2.1215461481239757e-05,2.65470476806921e-05,3.873216884759671e-05,0.00010852702875763127,0.002695827125622857,3.648054609986886e-06,5.289114785167565e-06,2.2559361881335782e-05,-2.183688776741244e-05,3.373672388895521e-06,6.367407882801324e-06,8.160063322126807e-06,1.5062957218264783e-05,1.559815751479556e-05,1.5858998715589934e-05,105.85202741010818,0.9999999988360004,0.0008087116761716499,0.0019513806573025086,0.005016504124439581
IDG_20260410_140916_153_converted,cmy_print,95x126x3,95x126x3,float64,float32,ok,2.209485857274096e-06,9.139963189830349e-06,1.2263882530250125e-05,1.963251744433455e-05,2.794411934285228e-05,4.175348496016085e-05,1.4008088401950273e-06,1.186863168222002e-05,2.5063217477316456e-05,3.664061615699336e-05,4.740531624354184e-05,5.46874271247111e-05,2.0209385405468335e-06,1.7122734659922035e-05,3.615903052504514e-05,5.286026384754132e-05,6.83897879066248e-05,7.889511303872909e-05,3.555299047314713e-06,5.599630566422146e-06,3.5149550970281496e-05,-4.175348496016085e-05,3.30809072002225e-06,8.297522674660663e-06,9.915709224395096e-06,1.360304031374325e-05,1.7092288497805213e-05,3.086711449551416e-05,115.20752003130929,0.9999999994862966,0.00020230992744485295,0.0014927518699357958,0.003747211221649318
IDG_20260410_140916_153_converted,rgb_out,95x126x3,95x126x3,float64,float32,ok,2.58694146711147e-06,9.549511836187689e-06,1.4114169397383405e-05,4.0298565824601094e-05,6.230248900814526e-05,8.595487500251409e-05,2.3891441187290005e-05,8.797300897313812e-05,0.00011460444955100901,0.00014046845418255266,0.0001737954226363553,0.0007011230335655208,3.4467646978310085e-05,0.00012691262459282505,0.0001653327680807402,0.00020263888480882906,0.00025071197328633264,0.00101186032976487,4.702348366246905e-06,8.528311482980924e-06,8.595487500251409e-05,-6.426439493945058e-05,1.4449262347726588e-06,6.20231019577977e-06,1.0529804912418061e-05,1.435673082232247e-05,1.6499594926528535e-05,2.6399973598878468e-05,101.38273892228477,0.999999985823619,0.0015287864492400471,0.004504254462587435,0.02290333236456267
IDG_20260410_140916_153_converted,materialized_rgb_out,95x126x3,95x126x3,float64,float32,ok,2.58694146711147e-06,9.549511836187689e-06,1.4114169397383405e-05,4.0298565824601094e-05,6.230248900814526e-05,8.595487500251409e-05,2.3891441187290005e-05,8.797300897313812e-05,0.00011460444955100901,0.00014046845418255266,0.0001737954226363553,0.0007011230335655208,3.4467646978310085e-05,0.00012691262459282505,0.0001653327680807402,0.00020263888480882906,0.00025071197328633264,0.00101186032976487,4.702348366246905e-06,8.528311482980924e-06,8.595487500251409e-05,-6.426439493945058e-05,1.4449262347726588e-06,6.20231019577977e-06,1.0529804912418061e-05,1.435673082232247e-05,1.6499594926528535e-05,2.6399973598878468e-05,101.38273892228477,0.999999985823619,0.0015287864492400471,0.004504254462587435,0.02290333236456267
IDG_20260410_140916_153_converted,export_png16_roundtrip,95x126x3,95x126x3,float32,float32,ok,0.0,1.52587890625e-05,1.52587890625e-05,4.57763671875e-05,6.103515625e-05,7.62939453125e-05,0.0,0.0001886763597918148,0.00021891083947496887,0.00031947475024388507,0.00039481116372227197,0.00040063491243740566,0.0,0.0002721767390988904,0.00031578697386798867,0.00046083093337616126,0.0005697044308245974,0.0005781096627831773,4.743002987910499e-06,1.0231142031940151e-05,7.62939453125e-05,-6.109476089477539e-05,2.142333984378464e-06,1.0913085937501454e-05,1.305541992180359e-05,1.7480468750052935e-05,2.388916015616871e-05,2.7432250976566763e-05,99.80151772558588,0.9999999643489087,0.001804635998978712,0.005556885105634672,0.02249033027516394
IMG_4897,rgb_in,95x126x3,95x126x3,float64,float32,ok,2.388661907160028e-10,4.645283047111093e-10,7.594794440915467e-10,1.6208043804311026e-09,2.521955759837714e-08,2.979826962956622e-08,1.927780172399004e-08,3.648834350870038e-08,4.28905475515412e-08,5.379026346497448e-08,5.732487990185924e-08,5.889651675479828e-08,2.7811960276566235e-08,5.2641510832018764e-08,6.187791550813051e-08,7.760289541442482e-08,8.270227098467733e-08,8.496966136114815e-08,3.781828920780226e-10,1.5141201270309346e-09,2.923899389273288e-08,-2.979826962956622e-08,1.7781845787490091e-10,4.034649662976175e-10,5.933516138492686e-10,1.3556007891213296e-09,2.0761295904669907e-08,2.756366790368503e-08,176.3967933495979,1.0000000000000024,9.763789158398818e-08,1.6987677923722386e-07,8.24043170332486e-06
