path,relative_path,folder,name,extension,size_bytes,size_mb,mtime
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0436_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0436_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0436_converted.DNG,.dng,18816232,17.945,1773497096
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0437_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0437_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0437_converted.DNG,.dng,18488584,17.632,1773497096
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0445_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0445_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0445_converted.DNG,.dng,16907546,16.124,1773497097
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0446_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0446_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0446_converted.DNG,.dng,13938152,13.292,1773497097
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0449_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0449_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0449_converted.DNG,.dng,23373718,22.291,1773497097
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0450_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0450_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0450_converted.DNG,.dng,23894312,22.787,1773497098
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0452_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0452_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0452_converted.DNG,.dng,28977322,27.635,1773497098
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0453_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0453_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0453_converted.DNG,.dng,28968468,27.626,1773497099
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0456_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0456_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0456_converted.DNG,.dng,20971990,20.0,1773497099
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0500_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0500_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0500_converted.DNG,.dng,22343624,21.309,1773497099
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0501_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0501_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0501_converted.DNG,.dng,22378482,21.342,1773497099
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0502_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0502_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0502_converted.DNG,.dng,25392860,24.217,1773497099
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0503_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0503_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0503_converted.DNG,.dng,25528258,24.346,1773497099
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0587_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0587_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0587_converted.DNG,.dng,25328694,24.155,1773497100
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0841_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0841_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0841_converted.DNG,.dng,17010454,16.222,1773497100
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0842_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0842_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0842_converted.DNG,.dng,16945336,16.16,1773497100
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_0847_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_0847_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_0847_converted.DNG,.dng,15697918,14.971,1773497101
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1062_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1062_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1062_converted.DNG,.dng,23108008,22.038,1773497101
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1063_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1063_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1063_converted.DNG,.dng,17694654,16.875,1773497102
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1064_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1064_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1064_converted.DNG,.dng,17551336,16.738,1773497102
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1065_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1065_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1065_converted.DNG,.dng,18189664,17.347,1773497101
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1066_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1066_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1066_converted.DNG,.dng,18803248,17.932,1773497102
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1206_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1206_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1206_converted.DNG,.dng,18485960,17.63,1773497101
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1207_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1207_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1207_converted.DNG,.dng,17166392,16.371,1773497101
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1283_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1283_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1283_converted.DNG,.dng,18884690,18.01,1773497102
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1284_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1284_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1284_converted.DNG,.dng,18112324,17.273,1773497103
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1285_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1285_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1285_converted.DNG,.dng,19526404,18.622,1773497103
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1296_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1296_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1296_converted.DNG,.dng,15371338,14.659,1773497104
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1297_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1297_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1297_converted.DNG,.dng,16409788,15.65,1773497104
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1298_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1298_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1298_converted.DNG,.dng,14310100,13.647,1773497104
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1299_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1299_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1299_converted.DNG,.dng,14026080,13.376,1773497104
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1300_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1300_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1300_converted.DNG,.dng,16909658,16.126,1773497104
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1301_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1301_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1301_converted.DNG,.dng,16863318,16.082,1773497104
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1305_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1305_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1305_converted.DNG,.dng,15824258,15.091,1773497105
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1306_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1306_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1306_converted.DNG,.dng,14821592,14.135,1773497105
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1307_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1307_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1307_converted.DNG,.dng,24421264,23.29,1773497105
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1325_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1325_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1325_converted.DNG,.dng,16808106,16.029,1773497106
/Users/retriedstormtrooper/Downloads/03_图片素材/RAW_DNG照片/04_批量导出_转换与预览/converted_DNG/IMG_1326_converted.DNG,04_批量导出_转换与预览/converted_DNG/IMG_1326_converted.DNG,04_批量导出_转换与预览/converted_DNG,IMG_1326_converted.DNG,.dng,15363752,14.652,1773497106
